Fare,Pclass,PassengerId,Survived
20.2125,3.0,255,0
15.2458,3.0,256,1
86.5,1.0,258,1
512.3292,1.0,259,1
26.0,2.0,260,1
31.3875,3.0,262,1
79.65,1.0,263,0
0.0,1.0,264,0
10.5,2.0,266,0
39.6875,3.0,267,0
7.775,3.0,268,1
153.4625,1.0,269,1
135.6333,1.0,270,1
0.0,3.0,272,1
19.5,2.0,273,1
29.7,1.0,274,0
77.9583,1.0,276,1
7.75,3.0,277,0
29.125,3.0,279,0
20.25,3.0,280,1
7.75,3.0,281,0
7.8542,3.0,282,0
9.5,3.0,283,0
8.05,3.0,284,1
8.6625,3.0,286,0
9.5,3.0,287,1
7.8958,3.0,288,0
13.0,2.0,289,1
7.75,3.0,290,1
78.85,1.0,291,1
91.0792,1.0,292,1
12.875,2.0,293,0
8.85,3.0,294,0
7.8958,3.0,295,0
7.2292,3.0,297,0
151.55,1.0,298,0
247.5208,1.0,300,1
0.0,3.0,303,0
151.55,1.0,306,1
108.9,1.0,308,1
24.0,2.0,309,0
56.9292,1.0,310,1
83.1583,1.0,311,1
262.375,1.0,312,1
26.0,2.0,313,0
7.8958,3.0,314,0
26.25,2.0,315,0
7.8542,3.0,316,1
26.0,2.0,317,1
14.0,2.0,318,0
164.8667,1.0,319,1
134.5,1.0,320,1
7.25,3.0,321,0
7.8958,3.0,322,0
12.35,2.0,323,1
29.0,2.0,324,1
135.6333,1.0,326,1
6.2375,3.0,327,0
13.0,2.0,328,1
20.525,3.0,329,1
57.9792,1.0,330,1
28.5,1.0,332,0
153.4625,1.0,333,0
18.0,3.0,334,0
66.6,1.0,337,0
134.5,1.0,338,1
8.05,3.0,339,1
35.5,1.0,340,0
26.0,2.0,341,1
263.0,1.0,342,1
13.0,2.0,343,0
13.0,2.0,344,0
13.0,2.0,345,0
13.0,2.0,346,1
13.0,2.0,347,1
15.9,3.0,349,1
8.6625,3.0,350,0
9.225,3.0,351,0
7.2292,3.0,353,0
17.8,3.0,354,0
9.5,3.0,356,0
55.0,1.0,357,1
13.0,2.0,358,0
27.9,3.0,361,0
27.7208,2.0,362,0
14.4542,3.0,363,0
7.05,3.0,364,0
7.25,3.0,366,0
75.25,1.0,367,1
69.3,1.0,370,1
55.4417,1.0,371,1
6.4958,3.0,372,0
8.05,3.0,373,0
135.6333,1.0,374,0
21.075,3.0,375,0
7.25,3.0,377,1
211.5,1.0,378,0
4.0125,3.0,379,0
7.775,3.0,380,0
227.525,1.0,381,1
15.7417,3.0,382,1
7.925,3.0,383,0
52.0,1.0,384,1
73.5,2.0,386,0
46.9,3.0,387,0
13.0,2.0,388,1
12.0,2.0,390,1
120.0,1.0,391,1
7.7958,3.0,392,1
7.925,3.0,393,0
113.275,1.0,394,1
16.7,3.0,395,1
7.7958,3.0,396,0
7.8542,3.0,397,0
26.0,2.0,398,0
10.5,2.0,399,0
12.65,2.0,400,1
7.925,3.0,401,1
8.05,3.0,402,0
9.825,3.0,403,0
15.85,3.0,404,0
8.6625,3.0,405,0
21.0,2.0,406,0
7.75,3.0,407,0
18.75,2.0,408,1
7.775,3.0,409,0
90.0,1.0,413,1
7.925,3.0,415,1
32.5,2.0,417,1
13.0,2.0,418,1
13.0,2.0,419,0
24.15,3.0,420,0
7.7333,3.0,422,0
7.875,3.0,423,0
14.4,3.0,424,0
20.2125,3.0,425,0
26.0,2.0,427,1
26.0,2.0,428,1
8.05,3.0,430,1
26.55,1.0,431,1
26.0,2.0,433,1
7.125,3.0,434,0
55.9,1.0,435,0
120.0,1.0,436,1
34.375,3.0,437,0
18.75,2.0,438,1
263.0,1.0,439,0
10.5,2.0,440,0
26.25,2.0,441,1
9.5,3.0,442,0
7.775,3.0,443,0
13.0,2.0,444,1
81.8583,1.0,446,1
19.5,2.0,447,1
26.55,1.0,448,1
19.2583,3.0,449,1
30.5,1.0,450,1
27.75,2.0,451,0
27.75,1.0,453,0
89.1042,1.0,454,1
7.8958,3.0,456,1
26.55,1.0,457,0
10.5,2.0,459,1
26.55,1.0,461,1
8.05,3.0,462,0
38.5,1.0,463,0
13.0,2.0,464,0
7.05,3.0,466,0
26.55,1.0,468,0
19.2583,3.0,470,1
8.6625,3.0,472,0
27.75,2.0,473,1
13.7917,2.0,474,1
9.8375,3.0,475,0
21.0,2.0,477,0
7.0458,3.0,478,0
7.5208,3.0,479,0
12.2875,3.0,480,1
46.9,3.0,481,0
8.05,3.0,483,0
9.5875,3.0,484,1
91.0792,1.0,485,1
90.0,1.0,487,1
29.7,1.0,488,0
8.05,3.0,489,0
15.9,3.0,490,1
7.25,3.0,492,0
30.5,1.0,493,0
49.5042,1.0,494,0
8.05,3.0,495,0
78.2667,1.0,497,1
151.55,1.0,499,0
7.7958,3.0,500,0
8.6625,3.0,501,0
7.75,3.0,502,0
9.5875,3.0,504,0
86.5,1.0,505,1
108.9,1.0,506,0
26.0,2.0,507,1
22.525,3.0,509,0
56.4958,3.0,510,1
7.75,3.0,511,1
26.2875,1.0,513,1
59.4,1.0,514,1
7.4958,3.0,515,0
34.0208,1.0,516,0
10.5,2.0,517,1
26.0,2.0,519,1
7.8958,3.0,520,0
93.5,1.0,521,1
7.8958,3.0,522,0
57.9792,1.0,524,1
7.75,3.0,526,0
10.5,2.0,527,1
7.925,3.0,529,0
11.5,2.0,530,0
26.0,2.0,531,1
7.2292,3.0,533,0
8.6625,3.0,535,0
26.25,2.0,536,1
26.55,1.0,537,0
106.425,1.0,538,1
49.5,1.0,540,1
71.0,1.0,541,1
31.275,3.0,542,0
31.275,3.0,543,0
26.0,2.0,544,1
106.425,1.0,545,0
26.0,1.0,546,0
26.0,2.0,547,1
20.525,3.0,549,0
36.75,2.0,550,1
110.8833,1.0,551,1
26.0,2.0,552,0
7.225,3.0,554,1
7.775,3.0,555,1
26.55,1.0,556,0
39.6,1.0,557,1
79.65,1.0,559,1
17.4,3.0,560,1
7.8958,3.0,562,0
13.5,2.0,563,0
24.15,3.0,566,0
7.8958,3.0,567,0
21.075,3.0,568,0
7.8542,3.0,570,1
10.5,2.0,571,1
51.4792,1.0,572,1
26.3875,1.0,573,1
8.05,3.0,575,0
14.5,3.0,576,0
13.0,2.0,577,1
55.9,1.0,578,1
7.925,3.0,580,1
30.0,2.0,581,1
110.8833,1.0,582,1
26.0,2.0,583,0
40.125,1.0,584,0
79.65,1.0,586,1
15.0,2.0,587,0
79.2,1.0,588,1
8.05,3.0,589,0
7.125,3.0,591,0
78.2667,1.0,592,1
7.25,3.0,593,0
26.0,2.0,595,0
24.15,3.0,596,0
0.0,3.0,598,0
56.9292,1.0,600,1
27.0,2.0,601,1
8.05,3.0,604,0
26.55,1.0,605,1
15.55,3.0,606,0
7.8958,3.0,607,0
30.5,1.0,608,1
41.5792,2.0,609,1
153.4625,1.0,610,1
31.275,3.0,611,0
8.05,3.0,615,0
65.0,2.0,616,1
14.4,3.0,617,0
16.1,3.0,618,0
39.0,2.0,619,1
10.5,2.0,620,0
14.4542,3.0,621,0
52.5542,1.0,622,1
15.7417,3.0,623,1
7.8542,3.0,624,0
16.1,3.0,625,0
32.3208,1.0,626,0
12.35,2.0,627,0
77.9583,1.0,628,1
7.8958,3.0,629,0
30.0,1.0,631,1
7.0542,3.0,632,0
30.5,1.0,633,1
27.9,3.0,635,0
13.0,2.0,636,1
7.925,3.0,637,0
26.25,2.0,638,0
39.6875,3.0,639,0
7.8542,3.0,641,0
69.3,1.0,642,1
27.9,3.0,643,0
19.2583,3.0,645,1
76.7292,1.0,646,1
7.8958,3.0,647,0
35.5,1.0,648,1
7.55,3.0,650,1
23.0,2.0,652,1
8.4333,3.0,653,0
6.75,3.0,655,0
73.5,2.0,656,0
15.5,3.0,658,0
13.0,2.0,659,0
113.275,1.0,660,0
133.65,1.0,661,1
7.225,3.0,662,0
25.5875,1.0,663,0
7.4958,3.0,664,0
7.925,3.0,665,1
73.5,2.0,666,0
13.0,2.0,667,0
8.05,3.0,669,0
39.0,2.0,671,1
52.0,1.0,672,0
10.5,2.0,673,0
13.0,2.0,674,1
7.775,3.0,676,0
8.05,3.0,677,0
9.8417,3.0,678,1
46.9,3.0,679,0
512.3292,1.0,680,1
76.7292,1.0,682,1
9.225,3.0,683,0
46.9,3.0,684,0
39.0,2.0,685,0
41.5792,2.0,686,0
39.6875,3.0,687,0
10.1708,3.0,688,0
7.7958,3.0,689,0
211.3375,1.0,690,1
57.0,1.0,691,1
13.4167,3.0,692,1
7.225,3.0,694,0
26.55,1.0,695,0
13.5,2.0,696,0
8.05,3.0,697,0
110.8833,1.0,699,0
7.65,3.0,700,0
227.525,1.0,701,1
26.2875,1.0,702,1
14.4542,3.0,703,0
7.7417,3.0,704,0
7.8542,3.0,705,0
26.0,2.0,706,0
13.5,2.0,707,1
26.2875,1.0,708,1
151.55,1.0,709,1
49.5042,1.0,711,1
52.0,1.0,713,1
9.4833,3.0,714,0
13.0,2.0,715,0
7.65,3.0,716,0
227.525,1.0,717,1
