Age,Sex=female,Sex=male,PassengerId,Survived
47.0,0.0,1.0,516,0
34.0,1.0,0.0,517,1
36.0,1.0,0.0,519,1
32.0,0.0,1.0,520,0
30.0,1.0,0.0,521,1
22.0,0.0,1.0,522,0
44.0,1.0,0.0,524,1
40.5,0.0,1.0,526,0
50.0,1.0,0.0,527,1
39.0,0.0,1.0,529,0
23.0,0.0,1.0,530,0
2.0,1.0,0.0,531,1
17.0,0.0,1.0,533,0
30.0,1.0,0.0,535,0
7.0,1.0,0.0,536,1
45.0,0.0,1.0,537,0
30.0,1.0,0.0,538,1
22.0,1.0,0.0,540,1
36.0,1.0,0.0,541,1
9.0,1.0,0.0,542,0
11.0,1.0,0.0,543,0
32.0,0.0,1.0,544,1
50.0,0.0,1.0,545,0
64.0,0.0,1.0,546,0
19.0,1.0,0.0,547,1
33.0,0.0,1.0,549,0
8.0,0.0,1.0,550,1
17.0,0.0,1.0,551,1
27.0,0.0,1.0,552,0
22.0,0.0,1.0,554,1
22.0,1.0,0.0,555,1
62.0,0.0,1.0,556,0
48.0,1.0,0.0,557,1
39.0,1.0,0.0,559,1
36.0,1.0,0.0,560,1
40.0,0.0,1.0,562,0
28.0,0.0,1.0,563,0
24.0,0.0,1.0,566,0
19.0,0.0,1.0,567,0
29.0,1.0,0.0,568,0
32.0,0.0,1.0,570,1
62.0,0.0,1.0,571,1
53.0,1.0,0.0,572,1
36.0,0.0,1.0,573,1
16.0,0.0,1.0,575,0
19.0,0.0,1.0,576,0
34.0,1.0,0.0,577,1
39.0,1.0,0.0,578,1
32.0,0.0,1.0,580,1
25.0,1.0,0.0,581,1
39.0,1.0,0.0,582,1
54.0,0.0,1.0,583,0
36.0,0.0,1.0,584,0
18.0,1.0,0.0,586,1
47.0,0.0,1.0,587,0
60.0,0.0,1.0,588,1
22.0,0.0,1.0,589,0
35.0,0.0,1.0,591,0
52.0,1.0,0.0,592,1
47.0,0.0,1.0,593,0
37.0,0.0,1.0,595,0
36.0,0.0,1.0,596,0
49.0,0.0,1.0,598,0
49.0,0.0,1.0,600,1
24.0,1.0,0.0,601,1
44.0,0.0,1.0,604,0
35.0,0.0,1.0,605,1
36.0,0.0,1.0,606,0
30.0,0.0,1.0,607,0
27.0,0.0,1.0,608,1
22.0,1.0,0.0,609,1
40.0,1.0,0.0,610,1
39.0,1.0,0.0,611,0
35.0,0.0,1.0,615,0
24.0,1.0,0.0,616,1
34.0,0.0,1.0,617,0
26.0,1.0,0.0,618,0
4.0,1.0,0.0,619,1
26.0,0.0,1.0,620,0
27.0,0.0,1.0,621,0
42.0,0.0,1.0,622,1
20.0,0.0,1.0,623,1
21.0,0.0,1.0,624,0
21.0,0.0,1.0,625,0
61.0,0.0,1.0,626,0
57.0,0.0,1.0,627,0
21.0,1.0,0.0,628,1
26.0,0.0,1.0,629,0
80.0,0.0,1.0,631,1
51.0,0.0,1.0,632,0
32.0,0.0,1.0,633,1
9.0,1.0,0.0,635,0
28.0,1.0,0.0,636,1
32.0,0.0,1.0,637,0
31.0,0.0,1.0,638,0
41.0,1.0,0.0,639,0
20.0,0.0,1.0,641,0
24.0,1.0,0.0,642,1
2.0,1.0,0.0,643,0
0.75,1.0,0.0,645,1
48.0,0.0,1.0,646,1
19.0,0.0,1.0,647,0
56.0,0.0,1.0,648,1
23.0,1.0,0.0,650,1
18.0,1.0,0.0,652,1
21.0,0.0,1.0,653,0
18.0,1.0,0.0,655,0
24.0,0.0,1.0,656,0
32.0,1.0,0.0,658,0
23.0,0.0,1.0,659,0
58.0,0.0,1.0,660,0
50.0,0.0,1.0,661,1
40.0,0.0,1.0,662,0
47.0,0.0,1.0,663,0
36.0,0.0,1.0,664,0
20.0,0.0,1.0,665,1
32.0,0.0,1.0,666,0
25.0,0.0,1.0,667,0
43.0,0.0,1.0,669,0
40.0,1.0,0.0,671,1
31.0,0.0,1.0,672,0
70.0,0.0,1.0,673,0
31.0,0.0,1.0,674,1
18.0,0.0,1.0,676,0
24.5,0.0,1.0,677,0
18.0,1.0,0.0,678,1
43.0,1.0,0.0,679,0
36.0,0.0,1.0,680,1
27.0,0.0,1.0,682,1
20.0,0.0,1.0,683,0
14.0,0.0,1.0,684,0
60.0,0.0,1.0,685,0
25.0,0.0,1.0,686,0
14.0,0.0,1.0,687,0
19.0,0.0,1.0,688,0
18.0,0.0,1.0,689,0
15.0,1.0,0.0,690,1
31.0,0.0,1.0,691,1
4.0,1.0,0.0,692,1
25.0,0.0,1.0,694,0
60.0,0.0,1.0,695,0
52.0,0.0,1.0,696,0
44.0,0.0,1.0,697,0
49.0,0.0,1.0,699,0
42.0,0.0,1.0,700,0
18.0,1.0,0.0,701,1
35.0,0.0,1.0,702,1
18.0,1.0,0.0,703,0
25.0,0.0,1.0,704,0
26.0,0.0,1.0,705,0
39.0,0.0,1.0,706,0
45.0,1.0,0.0,707,1
42.0,0.0,1.0,708,1
22.0,1.0,0.0,709,1
24.0,1.0,0.0,711,1
48.0,0.0,1.0,713,1
29.0,0.0,1.0,714,0
52.0,0.0,1.0,715,0
19.0,0.0,1.0,716,0
38.0,1.0,0.0,717,1
