BW      SF  PS   SNR  BER        RSSI          ToA  U1    U2    U3  L
125000  9   30   0    0.0000002  -117.0309002  0.0991232  0.17  0.40  0.43  1
125000  9   50   -40  0.0471112  -157.0309002  0.1155072  0.01  0.65  0.34  2
125000  9   50   -30  0.0495562  -147.0309002  0.1155072  0.25  0.46  0.29  2
125000  9   50   -20  0.0324442  -137.0309002  0.1155072  0.38  0.28  0.34  2
125000  9   50   -10  0.0000002  -127.0309002  0.1155072  0.00  0.61  0.39  1
125000  9   50   0    0.0000002  -117.0309002  0.1155072  0.41  0.45  0.15  1
125000  9   70   -40  0.0463492  -157.0309002  0.1318912  0.34  0.22  0.44  2
125000  9   70   -30  0.0482542  -147.0309002  0.1318912  0.56  0.16  0.28  2
125000  9   70   -20  0.0276192  -137.0309002  0.1318912  0.37  0.18  0.45  2
125000  9   70   -10  0.0000002  -127.0309002  0.1318912  0.30  0.15  0.55  1
125000  9   70   0    0.0000002  -117.0309002  0.1318912  0.51  0.26  0.24  1
125000  9   90   -40  0.0512352  -157.0309002  0.1318912  0.25  0.29  0.46  2
125000  9   90   -30  0.0486422  -147.0309002  0.1318912  0.33  0.54  0.13  2
125000  9   90   -20  0.0286422  -137.0309002  0.1318912  0.29  0.35  0.36  2
125000  9   90   -10  0.0000002  -127.0309002  0.1318912  0.67  0.05  0.28  1
125000  9   90   0    0.0000002  -117.0309002  0.1318912  0.01  0.04  0.94  1
125000  9   110  -40  0.0505052  -157.0309002  0.1482752  0.37  0.19  0.43  2
125000  9   110  -30  0.0498992  -147.0309002  0.1482752  0.46  0.28  0.26  2
125000  9   110  -20  0.0297982  -137.0309002  0.1482752  0.17  0.24  0.59  2
125000  9   110  -10  0.0000002  -127.0309002  0.1482752  0.02  0.47  0.51  1
125000  9   110  0    0.0000002  -117.0309002  0.1482752  0.08  0.85  0.07  1
125000  10  10   -40  0.0490002  -157.0309002  0.1654782  0.41  0.28  0.31  2
125000  10  10   -30  0.0520002  -147.0309002  0.1654782  0.21  0.34  0.45  2
125000  10  10   -20  0.0100002  -137.0309002  0.1654782  0.38  0.44  0.18  1
125000  10  10   -10  0.0000002  -127.0309002  0.1654782  0.51  0.15  0.35  1
125000  10  10   0    0.0000002  -117.0309002  0.1654782  0.22  0.24  0.54  1
125000  10  30   -40  0.0480002  -157.0309002  0.1982462  0.37  0.53  0.11  2
125000  10  30   -30  0.0453332  -147.0309002  0.1982462  0.45  0.40  0.15  2
125000  10  30   -20  0.0076672  -137.0309002  0.1982462  0.28  0.47  0.25  1
125000  10  30   -10  0.0000002  -127.0309002  0.1982462  0.46  0.34  0.20  1
125000  10  30   0    0.0000002  -117.0309002  0.1982462  0.15  0.53  0.31  1
125000  10  50   -40  0.0494002  -157.0309002  0.2310142  0.64  0.34  0.02  2
125000  10  50   -30  0.0464002  -147.0309002  0.2310142  0.45  0.25  0.30  2
125000  10  50   -20  0.0146002  -137.0309002  0.2310142  0.53  0.20  0.27  1
125000  10  50   -10  0.0000002  -127.0309002  0.2310142  0.31  0.23  0.46  1
125000  10  50   0    0.0000002  -117.0309002  0.2310142  0.23  0.35  0.43  1
125000  10  70   -40  0.0495712  -157.0309002  0.2310142  0.38  0.34  0.28  2
125000  10  70   -30  0.0482862  -147.0309002  0.2310142  0.06  0.31  0.62  2
125000  10  70   -20  0.0121432  -137.0309002  0.2310142  0.42  0.27  0.31  1
125000  10  70   -10  0.0000002  -127.0309002  0.2310142  0.36  0.08  0.56  1
125000  10  70   0    0.0000002  -117.0309002  0.2310142  0.27  0.28  0.45  1
125000  10  90   -40  0.0487782  -157.0309002  0.2637822  0.21  0.32  0.47  2
125000  10  90   -30  0.0474442  -147.0309002  0.2637822  0.49  0.35  0.16  2
125000  10  90   -20  0.0106672  -137.0309002  0.2637822  0.29  0.47  0.24  1
125000  10  90   -10  0.0000002  -127.0309002  0.2637822  0.05  0.42  0.53  1
125000  10  90   0    0.0000002  -117.0309002  0.2637822  0.29  0.03  0.68  1
125000  10  110  -40  0.0521822  -157.0309002  0.2965502  0.51  0.09  0.41  2
125000  10  110  -30  0.0533642  -147.0309002  0.2965502  0.29  0.35  0.37  2
125000  10  110  -20  0.0143642  -137.0309002  0.2965502  0.29  0.33  0.39  1
125000  10  110  -10  0.0000002  -127.0309002  0.2965502  0.45  0.42  0.13  1
125000  10  110  0    0.0000002  -117.0309002  0.2965502  0.60  0.02  0.38  1
125000  11  10   -40  0.0500002  -157.0309002  0.3309572  0.45  0.22  0.33  2
125000  11  10   -30  0.0518182  -147.0309002  0.3309572  0.16  0.58  0.26  2
125000  11  10   -20  0.0000002  -137.0309002  0.3309572  0.43  0.36  0.21  1
125000  11  10   -10  0.0000002  -127.0309002  0.3309572  0.16  0.22  0.62  1
125000  11  10   0    0.0000002  -117.0309002  0.3309572  0.14  0.45  0.41  1
125000  11  30   -40  0.0512122  -157.0309002  0.3964932  0.43  0.32  0.25  2
125000  11  30   -30  0.0448482  -147.0309002  0.3964932  0.61  0.16  0.23  2
125000  11  30   -20  0.0000002  -137.0309002  0.3964932  0.49  0.41  0.11  0
125000  11  30   -10  0.0000002  -127.0309002  0.3964932  0.19  0.02  0.79  1
125000  11  30   0    0.0000002  -117.0309002  0.3964932  0.58  0.19  0.23  1
125000  11  50   -40  0.0496362  -157.0309002  0.3964932  0.42  0.47  0.11  2
125000  11  50   -30  0.0465452  -147.0309002  0.3964932  0.46  0.36  0.18  2
125000  11  50   -20  0.0081822  -137.0309002  0.3964932  0.14  0.65  0.20  0
125000  11  50   -10  0.0000002  -127.0309002  0.3964932  0.46  0.10  0.44  1
125000  11  50   0    0.0000002  -117.0309002  0.3964932  0.27  0.01  0.72  1
125000  11  70   -40  0.0522082  -157.0309002  0.4620292  0.38  0.57  0.05  2
125000  11  70   -30  0.0479222  -147.0309002  0.4620292  0.43  0.20  0.36  2
125000  11  70   -20  0.0002602  -137.0309002  0.4620292  0.42  0.22  0.37  0
125000  11  70   -10  0.0000002  -127.0309002  0.4620292  0.26  0.69  0.05  1
125000  11  70   0    0.0000002  -117.0309002  0.4620292  0.44  0.24  0.32  1
125000  11  90   -40  0.0515152  -157.0309002  0.5275652  0.29  0.06  0.65  2
125000  11  90   -30  0.0473742  -147.0309002  0.5275652  0.48  0.45  0.08  2
125000  11  90   -20  0.0014142  -137.0309002  0.5275652  0.29  0.26  0.45  0
125000  11  90   -10  0.0000002  -127.0309002  0.5275652  0.32  0.43  0.25  0
125000  11  90   0    0.0000002  -117.0309002  0.5275652  0.40  0.35  0.25  1
125000  11  110  -40  0.0487602  -157.0309002  0.5275652  0.37  0.33  0.30  2
125000  11  110  -30  0.0481822  -147.0309002  0.5275652  0.19  0.31  0.50  2
125000  11  110  -20  0.0051242  -137.0309002  0.5275652  0.12  0.37  0.51  0
125000  11  110  -10  0.0000002  -127.0309002  0.5275652  0.35  0.54  0.11  0
125000  11  110  0    0.0000002  -117.0309002  0.5275652  0.06  0.70  0.24  1
125000  12  10   -40  0.0458332  -157.0309002  0.6619142  0.23  0.29  0.48  2
125000  12  10   -30  0.0450002  -147.0309002  0.6619142  0.25  0.24  0.51  2
125000  12  10   -20  0.0000002  -137.0309002  0.6619142  0.41  0.38  0.21  0
125000  12  10   -10  0.0000002  -127.0309002  0.6619142  0.29  0.31  0.40  0
125000  12  10   0    0.0000002  -117.0309002  0.6619142  0.14  0.57  0.28  0
125000  12  30   -40  0.0511112  -157.0309002  0.7929862  0.32  0.40  0.29  2
125000  12  30   -30  0.0461112  -147.0309002  0.7929862  0.04  0.81  0.15  2
125000  12  30   -20  0.0000002  -137.0309002  0.7929862  0.22  0.41  0.38  0
125000  12  30   -10  0.0000002  -127.0309002  0.7929862  0.02  0.74  0.24  0
125000  12  30   0    0.0000002  -117.0309002  0.7929862  0.08  0.52  0.40  0
125000  12  50   -40  0.0476672  -157.0309002  0.7929862  0.53  0.18  0.28  2
125000  12  50   -30  0.0463332  -147.0309002  0.7929862  0.34  0.32  0.34  2
125000  12  50   -20  0.0000002  -137.0309002  0.7929862  0.33  0.48  0.19  0
125000  12  50   -10  0.0000002  -127.0309002  0.7929862  0.23  0.25  0.52  0
125000  12  50   0    0.0000002  -117.0309002  0.7929862  0.19  0.41  0.40  0
125000  12  70   -40  0.0508332  -157.0309002  0.9240582  0.12  0.42  0.47  2
125000  12  70   -30  0.0421432  -147.0309002  0.9240582  0.65  0.07  0.28  2
125000  12  70   -20  0.0033332  -137.0309002  0.9240582  0.48  0.20  0.32  0
125000  12  70   -10  0.0000002  -127.0309002  0.9240582  0.63  0.02  0.36  0
125000  12  70   0    0.0000002  -117.0309002  0.9240582  0.27  0.58  0.14  0
125000  12  90   -40  0.0494442  -157.0309002  0.9240582  0.52  0.23  0.25  2
125000  12  90   -30  0.0403702  -147.0309002  0.9240582  0.44  0.27  0.29  2
125000  12  90   -20  0.0000002  -137.0309002  0.9240582  0.22  0.54  0.24  0
125000  12  90   -10  0.0000002  -127.0309002  0.9240582  0.06  0.69  0.26  0
125000  12  90   0    0.0000002  -117.0309002  0.9240582  0.46  0.31  0.23  0
125000  12  110  -40  0.0489392  -157.0309002  1.0551302  0.21  0.61  0.18  2
125000  12  110  -30  0.0429552  -147.0309002  1.0551302  0.14  0.33  0.53  2
125000  12  110  -20  0.0000002  -137.0309002  1.0551302  0.16  0.60  0.24  0
125000  12  110  -10  0.0000002  -127.0309002  1.0551302  0.51  0.37  0.11  0
125000  12  110  0    0.0000002  -117.0309002  1.0551302  0.29  0.38  0.33  0
250000  7   10   -40  0.0442862  -154.0206002  0.0123902  0.44  0.48  0.08  2
250000  7   10   -30  0.0428572  -144.0206002  0.0123902  0.24  0.45  0.32  2
250000  7   10   -20  0.0442862  -134.0206002  0.0123902  0.46  0.39  0.15  2
250000  7   10   -10  0.0000002  -124.0206002  0.0123902  0.46  0.20  0.33  1
250000  7   10   0    0.0000002  -114.0206002  0.0123902  0.09  0.35  0.56  1
250000  7   30   -40  0.0480952  -154.0206002  0.0144382  0.59  0.13  0.28  2
250000  7   30   -30  0.0504762  -144.0206002  0.0144382  0.43  0.42  0.14  2
250000  7   30   -20  0.0466672  -134.0206002  0.0144382  0.24  0.14  0.62  2
250000  7   30   -10  0.0033332  -124.0206002  0.0144382  0.16  0.31  0.53  1
250000  7   30   0    0.0000002  -114.0206002  0.0144382  0.11  0.47  0.42  1
250000  7   50   -40  0.0482862  -154.0206002  0.0164862  0.93  0.02  0.05  2
250000  7   50   -30  0.0494292  -144.0206002  0.0164862  0.25  0.27  0.48  2
250000  7   50   -20  0.0488572  -134.0206002  0.0164862  0.26  0.10  0.64  2
250000  7   50   -10  0.0025712  -124.0206002  0.0164862  0.36  0.39  0.25  1
250000  7   50   0    0.0000002  -114.0206002  0.0164862  0.41  0.32  0.26  1
250000  7   70   -40  0.0502042  -154.0206002  0.0185342  0.36  0.26  0.38  2
250000  7   70   -30  0.0508162  -144.0206002  0.0185342  0.37  0.52  0.11  2
250000  7   70   -20  0.0448982  -134.0206002  0.0185342  0.34  0.40  0.26  2
250000  7   70   -10  0.0010202  -124.0206002  0.0185342  0.69  0.26  0.05  1
250000  7   70   0    0.0000002  -114.0206002  0.0185342  0.38  0.44  0.17  1
250000  7   90   -40  0.0547622  -154.0206002  0.0205822  0.06  0.15  0.79  2
250000  7   90   -30  0.0515872  -144.0206002  0.0205822  0.20  0.57  0.23  2
250000  7   90   -20  0.0477782  -134.0206002  0.0205822  0.40  0.19  0.40  2
250000  7   90   -10  0.0030162  -124.0206002  0.0205822  0.21  0.40  0.40  1
250000  7   90   0    0.0000002  -114.0206002  0.0205822  0.49  0.49  0.03  1
250000  7   110  -40  0.0488312  -154.0206002  0.0226302  0.18  0.43  0.39  2
250000  7   110  -30  0.0470132  -144.0206002  0.0226302  0.38  0.27  0.35  2
250000  7   110  -20  0.0457142  -134.0206002  0.0226302  0.24  0.44  0.32  2
250000  7   110  -10  0.0009092  -124.0206002  0.0226302  0.38  0.22  0.40  1
250000  7   110  0    0.0000002  -114.0206002  0.0226302  0.45  0.46  0.09  1
250000  8   10   -40  0.0425002  -154.0206002  0.0247812  0.14  0.37  0.49  2
250000  8   10   -30  0.0550002  -144.0206002  0.0247812  0.39  0.17  0.44  2
250000  8   10   -20  0.0625002  -134.0206002  0.0247812  0.39  0.25  0.36  2
250000  8   10   -10  0.0000002  -124.0206002  0.0247812  0.79  0.10  0.11  1
250000  8   10   0    0.0000002  -114.0206002  0.0247812  0.61  0.26  0.13  1
250000  8   30   -40  0.0466672  -154.0206002  0.0288772  0.41  0.39  0.20  2
250000  8   30   -30  0.0520832  -144.0206002  0.0288772  0.69  0.06  0.25  2
250000  8   30   -20  0.0354172  -134.0206002  0.0288772  0.60  0.39  0.01  2
250000  8   30   -10  0.0000002  -124.0206002  0.0288772  0.44  0.33  0.23  1
250000  8   30   0    0.0000002  -114.0206002  0.0288772  0.22  0.44  0.34  1
250000  8   50   -40  0.0497502  -154.0206002  0.0288772  0.65  0.35  0.00  2
250000  8   50   -30  0.0450002  -144.0206002  0.0288772  0.29  0.28  0.43  2
250000  8   50   -20  0.0412502  -134.0206002  0.0288772  0.40  0.29  0.31  2
250000  8   50   -10  0.0000002  -124.0206002  0.0288772  0.38  0.32  0.30  1
250000  8   50   0    0.0000002  -114.0206002  0.0288772  0.52  0.05  0.42  1
250000  8   70   -40  0.0485712  -154.0206002  0.0329732  0.23  0.45  0.32  2
250000  8   70   -30  0.0464292  -144.0206002  0.0329732  0.38  0.32  0.30  2
250000  8   70   -20  0.0417862  -134.0206002  0.0329732  0.19  0.39  0.43  2
250000  8   70   -10  0.0000002  -124.0206002  0.0329732  0.41  0.38  0.21  1
250000  8   70   0    0.0000002  -114.0206002  0.0329732  0.02  0.18  0.80  1
250000  8   90   -40  0.0501392  -154.0206002  0.0370692  0.41  0.11  0.48  2
250000  8   90   -30  0.0465282  -144.0206002  0.0370692  0.31  0.34  0.36  2
250000  8   90   -20  0.0398612  -134.0206002  0.0370692  0.31  0.37  0.32  2
250000  8   90   -10  0.0000002  -124.0206002  0.0370692  0.34  0.37  0.29  1
250000  8   90   0    0.0000002  -114.0206002  0.0370692  0.45  0.32  0.22  1
250000  8   110  -40  0.0512502  -154.0206002  0.0411652  0.48  0.02  0.50  2
250000  8   110  -30  0.0518182  -144.0206002  0.0411652  0.13  0.19  0.67  2
250000  8   110  -20  0.0457952  -134.0206002  0.0411652  0.35  0.14  0.51  2
250000  8   110  -10  0.0000002  -124.0206002  0.0411652  0.48  0.05  0.47  1
250000  8   110  0    0.0000002  -114.0206002  0.0411652  0.22  0.67  0.11  1
250000  9   10   -40  0.0533332  -154.0206002  0.0495622  0.51  0.34  0.15  2
250000  9   10   -30  0.0500002  -144.0206002  0.0495622  0.30  0.41  0.29  2
250000  9   10   -20  0.0311112  -134.0206002  0.0495622  0.47  0.00  0.53  2
250000  9   10   -10  0.0000002  -124.0206002  0.0495622  0.30  0.32  0.39  1
250000  9   10   0    0.0000002  -114.0206002  0.0495622  0.33  0.37  0.30  1
250000  9   30   -40  0.0503702  -154.0206002  0.0495622  0.17  0.42  0.41  2
250000  9   30   -30  0.0488892  -144.0206002  0.0495622  0.35  0.51  0.14  2
250000  9   30   -20  0.0322222  -134.0206002  0.0495622  0.17  0.39  0.44  2
250000  9   30   -10  0.0000002  -124.0206002  0.0495622  0.82  0.00  0.18  1
250000  9   30   0    0.0000002  -114.0206002  0.0495622  0.31  0.41  0.28  1
250000  9   50   -40  0.0537782  -154.0206002  0.0577542  0.04  0.51  0.45  2
250000  9   50   -30  0.0473332  -144.0206002  0.0577542  0.29  0.35  0.36  2
250000  9   50   -20  0.0315562  -134.0206002  0.0577542  0.31  0.33  0.37  2
250000  9   50   -10  0.0000002  -124.0206002  0.0577542  0.71  0.08  0.21  1
250000  9   50   0    0.0000002  -114.0206002  0.0577542  0.90  0.03  0.08  1
250000  9   70   -40  0.0519052  -154.0206002  0.0659462  0.43  0.21  0.36  2
250000  9   70   -30  0.0490482  -144.0206002  0.0659462  0.06  0.44  0.50  2
250000  9   70   -20  0.0328572  -134.0206002  0.0659462  0.11  0.13  0.76  2
250000  9   70   -10  0.0000002  -124.0206002  0.0659462  0.53  0.03  0.44  1
250000  9   70   0    0.0000002  -114.0206002  0.0659462  0.36  0.32  0.32  1
250000  9   90   -40  0.0534572  -154.0206002  0.0659462  0.38  0.00  0.62  2
250000  9   90   -30  0.0544442  -144.0206002  0.0659462  0.32  0.41  0.26  2
250000  9   90   -20  0.0323462  -134.0206002  0.0659462  0.43  0.53  0.04  2
250000  9   90   -10  0.0000002  -124.0206002  0.0659462  0.24  0.24  0.52  1
250000  9   90   0    0.0000002  -114.0206002  0.0659462  0.38  0.14  0.49  1
250000  9   110  -40  0.0504042  -154.0206002  0.0741382  0.18  0.57  0.24  2
250000  9   110  -30  0.0534342  -144.0206002  0.0741382  0.87  0.09  0.03  2
250000  9   110  -20  0.0267682  -134.0206002  0.0741382  0.37  0.34  0.29  2
250000  9   110  -10  0.0000002  -124.0206002  0.0741382  0.63  0.05  0.32  1
250000  9   110  0    0.0000002  -114.0206002  0.0741382  0.42  0.14  0.44  1
250000  10  10   -40  0.0430002  -154.0206002  0.0827392  0.34  0.38  0.28  2
250000  10  10   -30  0.0560002  -144.0206002  0.0827392  0.31  0.23  0.46  2
250000  10  10   -20  0.0120002  -134.0206002  0.0827392  0.46  0.28  0.26  1
250000  10  10   -10  0.0000002  -124.0206002  0.0827392  0.43  0.06  0.51  1
250000  10  10   0    0.0000002  -114.0206002  0.0827392  0.43  0.08  0.49  1
250000  10  30   -40  0.0503332  -154.0206002  0.0991232  0.33  0.26  0.41  2
250000  10  30   -30  0.0530002  -144.0206002  0.0991232  0.40  0.47  0.13  2
250000  10  30   -20  0.0103332  -134.0206002  0.0991232  0.33  0.51  0.15  1
250000  10  30   -10  0.0030002  -124.0206002  0.0991232  0.18  0.29  0.54  1
250000  10  30   0    0.0000002  -114.0206002  0.0991232  0.67  0.27  0.06  1
250000  10  50   -40  0.0472002  -154.0206002  0.1155072  0.37  0.29  0.34  2
250000  10  50   -30  0.0452002  -144.0206002  0.1155072  0.32  0.10  0.58  2
250000  10  50   -20  0.0122002  -134.0206002  0.1155072  0.58  0.12  0.31  1
250000  10  50   -10  0.0000002  -124.0206002  0.1155072  0.37  0.31  0.32  1
250000  10  50   0    0.0000002  -114.0206002  0.1155072  0.43  0.10  0.47  1
250000  10  70   -40  0.0515712  -154.0206002  0.1155072  0.35  0.37  0.27  2
250000  10  70   -30  0.0517142  -144.0206002  0.1155072  0.53  0.04  0.43  2
250000  10  70   -20  0.0121432  -134.0206002  0.1155072  0.31  0.37  0.32  1
250000  10  70   -10  0.0000002  -124.0206002  0.1155072  0.30  0.49  0.22  1
250000  10  70   0    0.0000002  -114.0206002  0.1155072  0.25  0.52  0.23  1
250000  10  90   -40  0.0485562  -154.0206002  0.1318912  0.31  0.52  0.18  2
250000  10  90   -30  0.0456672  -144.0206002  0.1318912  0.54  0.10  0.35  2
250000  10  90   -20  0.0173332  -134.0206002  0.1318912  0.34  0.34  0.32  1
250000  10  90   -10  0.0000002  -124.0206002  0.1318912  0.43  0.43  0.13  1
250000  10  90   0    0.0000002  -114.0206002  0.1318912  0.07  0.50  0.43  1
250000  10  110  -40  0.0484552  -154.0206002  0.1482752  0.09  0.13  0.77  2
250000  10  110  -30  0.0480912  -144.0206002  0.1482752  0.30  0.18  0.51  2
250000  10  110  -20  0.0197272  -134.0206002  0.1482752  0.63  0.23  0.14  1
250000  10  110  -10  0.0000002  -124.0206002  0.1482752  0.45  0.09  0.46  1
250000  10  110  0    0.0000002  -114.0206002  0.1482752  0.46  0.48  0.06  1
250000  11  10   -40  0.0527272  -154.0206002  0.1654782  0.15  0.70  0.14  2
250000  11  10   -30  0.0581822  -144.0206002  0.1654782  0.36  0.25  0.39  2
250000  11  10   -20  0.0000002  -134.0206002  0.1654782  0.34  0.02  0.64  1
250000  11  10   -10  0.0000002  -124.0206002  0.1654782  0.49  0.15  0.37  1
250000  11  10   0    0.0000002  -114.0206002  0.1654782  0.09  0.03  0.88  1
250000  11  30   -40  0.0487882  -154.0206002  0.1982462  0.25  0.44  0.31  2
250000  11  30   -30  0.0506062  -144.0206002  0.1982462  0.27  0.26  0.47  2
250000  11  30   -20  0.0054552  -134.0206002  0.1982462  0.72  0.06  0.22  1
250000  11  30   -10  0.0000002  -124.0206002  0.1982462  0.47  0.45  0.08  1
250000  11  30   0    0.0000002  -114.0206002  0.1982462  0.31  0.41  0.28  1
250000  11  50   -40  0.0501822  -154.0206002  0.1982462  0.02  0.33  0.65  2
250000  11  50   -30  0.0525452  -144.0206002  0.1982462  0.66  0.16  0.18  2
250000  11  50   -20  0.0000002  -134.0206002  0.1982462  0.27  0.50  0.23  1
250000  11  50   -10  0.0000002  -124.0206002  0.1982462  0.35  0.06  0.60  1
250000  11  50   0    0.0000002  -114.0206002  0.1982462  0.54  0.31  0.15  1
250000  11  70   -40  0.0485712  -154.0206002  0.2310142  0.20  0.19  0.61  2
250000  11  70   -30  0.0505192  -144.0206002  0.2310142  0.09  0.29  0.62  2
250000  11  70   -20  0.0019482  -134.0206002  0.2310142  0.51  0.13  0.37  1
250000  11  70   -10  0.0000002  -124.0206002  0.2310142  0.62  0.17  0.21  1
250000  11  70   0    0.0000002  -114.0206002  0.2310142  0.83  0.05  0.12  1
250000  11  90   -40  0.0487882  -154.0206002  0.2637822  0.03  0.45  0.52  2
250000  11  90   -30  0.0472732  -144.0206002  0.2637822  0.26  0.43  0.31  2
250000  11  90   -20  0.0054552  -134.0206002  0.2637822  0.09  0.17  0.74  1
250000  11  90   -10  0.0000002  -124.0206002  0.2637822  0.30  0.26  0.44  1
250000  11  90   0    0.0000002  -114.0206002  0.2637822  0.10  0.76  0.14  1
